hardware,embedding_index,horizon,method,time,result
johannesburg,26,3,bellman,0.010630,1
johannesburg,27,3,bellman,0.011460,1
johannesburg,28,3,bellman,0.012370,1
johannesburg,29,3,bellman,0.011720,1
johannesburg,30,3,bellman,0.012200,1
johannesburg,31,3,bellman,0.012410,1
melbourne,0,3,bellman,0.006340,1
melbourne,1,3,bellman,0.008560,1
melbourne,2,3,bellman,0.008690,1
melbourne,3,3,bellman,0.010890,1
melbourne,4,3,bellman,0.006780,1
melbourne,5,3,bellman,0.008670,1
melbourne,6,3,bellman,0.008720,1
melbourne,7,3,bellman,0.009560,1
melbourne,8,3,bellman,0.009670,1
melbourne,9,3,bellman,0.007110,1
melbourne,10,3,bellman,0.009050,1
melbourne,11,3,bellman,0.008810,1
melbourne,12,3,bellman,0.009520,1
melbourne,13,3,bellman,0.009610,1
melbourne,14,3,bellman,0.007510,1
melbourne,15,3,bellman,0.008620,1
melbourne,16,3,bellman,0.008970,1
melbourne,17,3,bellman,0.009640,1
melbourne,18,3,bellman,0.009780,1
melbourne,19,3,bellman,0.007980,1
melbourne,20,3,bellman,0.008290,1
melbourne,21,3,bellman,0.009060,1
melbourne,22,3,bellman,0.009090,1
melbourne,23,3,bellman,0.009350,1
melbourne,24,3,bellman,0.008460,1
melbourne,25,3,bellman,0.008590,1
melbourne,26,3,bellman,0.009040,1
melbourne,27,3,bellman,0.009350,1
melbourne,28,3,bellman,0.008740,1
melbourne,29,3,bellman,0.008850,1
melbourne,30,3,bellman,0.009030,1
melbourne,31,3,bellman,0.009420,1
melbourne,32,3,bellman,0.009690,1
melbourne,33,3,bellman,0.010130,1
melbourne,34,3,bellman,0.010590,1
melbourne,35,3,bellman,0.011050,1
manila,0,3,bellman,0.006330,1
manila,1,3,bellman,0.006550,1
manila,2,3,bellman,0.007060,1
montreal,0,3,bellman,0.006410,1
montreal,1,3,bellman,0.006980,1
montreal,2,3,bellman,0.006750,1
montreal,3,3,bellman,0.006810,1
montreal,4,3,bellman,0.007950,1
montreal,5,3,bellman,0.007390,1
montreal,6,3,bellman,0.008130,1
montreal,7,3,bellman,0.008460,1
montreal,8,3,bellman,0.009180,1
montreal,9,3,bellman,0.009060,1
montreal,10,3,bellman,0.009580,1
montreal,11,3,bellman,0.008900,1
montreal,12,3,bellman,0.009930,1
montreal,13,3,bellman,0.009500,1
montreal,14,3,bellman,0.010290,1
montreal,15,3,bellman,0.010490,1
montreal,16,3,bellman,0.011010,1
montreal,17,3,bellman,0.011000,1
montreal,18,3,bellman,0.011440,1
montreal,19,3,bellman,0.010940,1
montreal,20,3,bellman,0.011170,1
montreal,21,3,bellman,0.011810,1
montreal,22,3,bellman,0.011550,1
montreal,23,3,bellman,0.012680,1
montreal,24,3,bellman,0.012300,1
montreal,25,3,bellman,0.013230,1
montreal,26,3,bellman,0.013070,1
montreal,27,3,bellman,0.013360,1
montreal,28,3,bellman,0.013340,1
montreal,29,3,bellman,0.013680,1
montreal,30,3,bellman,0.013760,1
montreal,31,3,bellman,0.014710,1
montreal,32,3,bellman,0.015110,1
montreal,33,3,bellman,0.014770,1
montreal,34,3,bellman,0.015040,1
montreal,35,3,bellman,0.014830,1
montreal,36,3,bellman,0.015190,1
rochester,0,3,bellman,0.006200,1
rochester,1,3,bellman,0.006610,1
rochester,2,3,bellman,0.007930,1
rochester,3,3,bellman,0.006630,1
rochester,4,3,bellman,0.006900,1
rochester,5,3,bellman,0.007920,1
rochester,6,3,bellman,0.008770,1
rochester,7,3,bellman,0.008840,1
rochester,8,3,bellman,0.009050,1
rochester,9,3,bellman,0.010130,1
rochester,10,3,bellman,0.010420,1
rochester,11,3,bellman,0.008960,1
rochester,12,3,bellman,0.010380,1
rochester,13,3,bellman,0.011640,1
rochester,14,3,bellman,0.008930,1
rochester,15,3,bellman,0.009590,1
rochester,16,3,bellman,0.010010,1
rochester,17,3,bellman,0.011050,1
rochester,18,3,bellman,0.010770,1
rochester,19,3,bellman,0.010820,1
rochester,20,3,bellman,0.013690,1
rochester,21,3,bellman,0.010780,1
rochester,22,3,bellman,0.011030,1
rochester,23,3,bellman,0.012060,1
rochester,24,3,bellman,0.013740,1
rochester,25,3,bellman,0.012610,1
rochester,26,3,bellman,0.014030,1
rochester,27,3,bellman,0.014330,1
rochester,28,3,bellman,0.015380,1
rochester,29,3,bellman,0.013280,1
rochester,30,3,bellman,0.013680,1
rochester,31,3,bellman,0.014230,1
rochester,32,3,bellman,0.015030,1
rochester,33,3,bellman,0.014610,1
rochester,34,3,bellman,0.016760,1
rochester,35,3,bellman,0.014240,1
rochester,36,3,bellman,0.014600,1
rochester,37,3,bellman,0.015270,1
rochester,38,3,bellman,0.015620,1
rochester,39,3,bellman,0.015090,1
rochester,40,3,bellman,0.015460,1
rochester,41,3,bellman,0.017540,1
rochester,42,3,bellman,0.017020,1
rochester,43,3,bellman,0.017180,1
rochester,44,3,bellman,0.018410,1
rochester,45,3,bellman,0.018970,1
rochester,46,3,bellman,0.017100,1
rochester,47,3,bellman,0.018640,1
rochester,48,3,bellman,0.019800,1
rochester,49,3,bellman,0.017850,1
rochester,50,3,bellman,0.017940,1
rochester,51,3,bellman,0.017640,1
rochester,52,3,bellman,0.018520,1
rochester,53,3,bellman,0.018650,1
rochester,54,3,bellman,0.018940,1
rochester,55,3,bellman,0.020820,1
