,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
499,boeblingen,4,1,0.49608,0.49583,boeblingen_4,0.000250000000000028
502,boeblingen,5,1,0.49608,0.49583,boeblingen_5,0.000250000000000028
505,boeblingen,12,1,0.49332,0.49148,boeblingen_12,0.0018400000000000083
508,boeblingen,13,1,0.49308,0.49148,boeblingen_13,0.0016000000000000458
513,boeblingen,17,1,0.4966,0.49519,boeblingen_17,0.0014099999999999668
516,boeblingen,18,1,0.4966,0.49445,boeblingen_18,0.0021499999999999853
517,boeblingen,19,1,0.49608,0.49445,boeblingen_19,0.0016300000000000203
520,boeblingen,20,1,0.49608,0.4942,boeblingen_20,0.0018800000000000483
521,boeblingen,21,1,0.4952,0.4942,boeblingen_21,0.0010000000000000009
524,boeblingen,22,1,0.4952,0.49195,boeblingen_22,0.003249999999999975
525,boeblingen,23,1,0.49796,0.49195,boeblingen_23,0.006010000000000015
528,boeblingen,24,1,0.49796,0.49646,boeblingen_24,0.0015000000000000013
529,boeblingen,25,1,0.49652,0.49646,boeblingen_25,6.0000000000004494e-05
536,boeblingen,31,1,0.49696,0.49646,boeblingen_31,0.0005000000000000004
539,boeblingen,34,1,0.49696,0.49451,boeblingen_34,0.0024500000000000077
542,boeblingen,37,1,0.49444,0.4941,boeblingen_37,0.00034000000000000696
545,boeblingen,38,1,0.49444,0.49076,boeblingen_38,0.0036800000000000166
546,boeblingen,39,1,0.49332,0.49076,boeblingen_39,0.0025600000000000067
549,boeblingen,40,1,0.49576,0.49148,boeblingen_40,0.004280000000000006
552,boeblingen,41,1,0.49576,0.49148,boeblingen_41,0.004280000000000006
555,boeblingen,42,1,0.4928,0.49195,boeblingen_42,0.0008500000000000174
558,boeblingen,43,1,0.4928,0.49195,boeblingen_43,0.0008500000000000174
561,boeblingen,50,1,0.49452,0.4941,boeblingen_50,0.00042000000000003146
564,boeblingen,51,1,0.49452,0.49445,boeblingen_51,7.00000000000145e-05
567,boeblingen,54,1,0.4964,0.49266,boeblingen_54,0.003740000000000021
570,boeblingen,55,1,0.4964,0.49266,boeblingen_55,0.003740000000000021
575,boeblingen,57,1,0.49648,0.49307,boeblingen_57,0.0034099999999999686
576,boeblingen,58,1,0.49452,0.49307,boeblingen_58,0.0014500000000000068
583,boeblingen,63,1,0.49648,0.49076,boeblingen_63,0.005720000000000003
584,boeblingen,64,1,0.4966,0.49076,boeblingen_64,0.005840000000000012
593,boeblingen,71,1,0.4942,0.49307,boeblingen_71,0.0011299999999999644
596,boeblingen,74,1,0.49576,0.49392,boeblingen_74,0.0018399999999999528
599,boeblingen,75,1,0.49576,0.4942,boeblingen_75,0.0015600000000000058
600,boeblingen,76,1,0.49584,0.4942,boeblingen_76,0.0016400000000000303
603,boeblingen,77,1,0.49584,0.49392,boeblingen_77,0.0019199999999999773
604,boeblingen,78,1,0.49524,0.49392,boeblingen_78,0.0013199999999999878
607,boeblingen,79,1,0.49524,0.49332,boeblingen_79,0.0019200000000000328
608,boeblingen,80,1,0.4964,0.49282,boeblingen_80,0.0035800000000000276
611,boeblingen,81,1,0.4964,0.49282,boeblingen_81,0.0035800000000000276
614,boeblingen,82,1,0.49652,0.49607,boeblingen_82,0.00045000000000000595
617,boeblingen,83,1,0.49652,0.49607,boeblingen_83,0.00045000000000000595
620,boeblingen,84,1,0.49584,0.49266,boeblingen_84,0.003180000000000016
623,boeblingen,85,1,0.49584,0.49266,boeblingen_85,0.003180000000000016
626,bogota,0,1,0.49656,0.47483,bogota_0,0.021730000000000027
629,bogota,1,1,0.49712,0.49656,bogota_1,0.0005600000000000049
630,bogota,6,1,0.47486,0.47483,bogota_6,3.0000000000030003e-05
635,brooklyn,0,1,0.4938,0.49138,brooklyn_0,0.0024200000000000332
638,brooklyn,1,1,0.4938,0.49138,brooklyn_1,0.0024200000000000332
641,brooklyn,8,1,0.49628,0.49599,brooklyn_8,0.00029000000000001247
644,brooklyn,9,1,0.49628,0.49599,brooklyn_9,0.00029000000000001247
647,brooklyn,10,1,0.49708,0.49667,brooklyn_10,0.00041000000000002146
650,brooklyn,11,1,0.49708,0.49667,brooklyn_11,0.00041000000000002146
653,brooklyn,22,1,0.49668,0.49588,brooklyn_22,0.0008000000000000229
656,brooklyn,23,1,0.49668,0.49588,brooklyn_23,0.0008000000000000229
659,brooklyn,26,1,0.49668,0.49588,brooklyn_26,0.0008000000000000229
662,brooklyn,27,1,0.49668,0.49588,brooklyn_27,0.0008000000000000229
665,brooklyn,28,1,0.49664,0.49404,brooklyn_28,0.0026000000000000467
668,brooklyn,29,1,0.49664,0.49404,brooklyn_29,0.0026000000000000467
671,brooklyn,32,1,0.4964,0.49571,brooklyn_32,0.0006900000000000239
674,brooklyn,33,1,0.4964,0.49571,brooklyn_33,0.0006900000000000239
677,brooklyn,34,1,0.49596,0.48278,brooklyn_34,0.013180000000000025
680,brooklyn,35,1,0.49596,0.48278,brooklyn_35,0.013180000000000025
683,brooklyn,42,1,0.49712,0.49659,brooklyn_42,0.0005300000000000304
686,brooklyn,43,1,0.49712,0.49659,brooklyn_43,0.0005300000000000304
689,brooklyn,52,1,0.49644,0.49506,brooklyn_52,0.0013799999999999923
692,brooklyn,53,1,0.49644,0.49506,brooklyn_53,0.0013799999999999923
695,brooklyn,58,1,0.4964,0.4962,brooklyn_58,0.00020000000000003348
698,brooklyn,59,1,0.4964,0.4962,brooklyn_59,0.00020000000000003348
701,brooklyn,60,1,0.49628,0.4962,brooklyn_60,8.00000000000245e-05
704,brooklyn,61,1,0.49628,0.4962,brooklyn_61,8.00000000000245e-05
707,brooklyn,62,1,0.49668,0.49646,brooklyn_62,0.00021999999999999797
710,brooklyn,63,1,0.49668,0.49646,brooklyn_63,0.00021999999999999797
713,brooklyn,68,1,0.49684,0.49645,brooklyn_68,0.00039000000000000146
716,brooklyn,69,1,0.49684,0.49645,brooklyn_69,0.00039000000000000146
719,brooklyn,70,1,0.49788,0.49659,brooklyn_70,0.0012900000000000134
722,brooklyn,71,1,0.49788,0.49659,brooklyn_71,0.0012900000000000134
725,brooklyn,72,1,0.49716,0.49375,brooklyn_72,0.0034099999999999686
728,brooklyn,73,1,0.49716,0.49375,brooklyn_73,0.0034099999999999686
735,brooklyn,77,1,0.4964,0.49624,brooklyn_77,0.00015999999999999348
736,brooklyn,78,1,0.49724,0.49624,brooklyn_78,0.0010000000000000009
739,brooklyn,79,1,0.49724,0.49701,brooklyn_79,0.00023000000000000798
742,brooklyn,80,1,0.49652,0.49571,brooklyn_80,0.0008100000000000329
745,brooklyn,81,1,0.49652,0.49571,brooklyn_81,0.0008100000000000329
748,brooklyn,82,1,0.49716,0.49688,brooklyn_82,0.00028000000000000247
751,brooklyn,83,1,0.49716,0.49688,brooklyn_83,0.00028000000000000247
754,brooklyn,84,1,0.49668,0.49666,brooklyn_84,2.0000000000020002e-05
757,brooklyn,85,1,0.49668,0.49666,brooklyn_85,2.0000000000020002e-05
760,brooklyn,88,1,0.4978,0.49738,brooklyn_88,0.00042000000000003146
763,brooklyn,89,1,0.4978,0.49683,brooklyn_89,0.0009700000000000264
764,brooklyn,90,1,0.49728,0.49683,brooklyn_90,0.00045000000000000595
767,brooklyn,91,1,0.49728,0.49138,brooklyn_91,0.005900000000000016
770,brooklyn,94,1,0.49644,0.49514,brooklyn_94,0.0012999999999999678
