hardware,embedding_index,algorithm_index,probability,method
geneva,1,5,0.976650,bellman
guadalupe,0,5,0.999370,bellman
guadalupe,1,5,0.997050,bellman
hanoi,0,5,0.999460,bellman
hanoi,1,5,0.994440,bellman
jakarta,0,5,0.999260,bellman
jakarta,1,5,0.997790,bellman
johannesburg,0,5,0.995230,bellman
johannesburg,1,5,0.957750,bellman
kawasaki,0,5,0.999570,bellman
kawasaki,1,5,0.759620,bellman
kolkata,0,5,0.999660,bellman
kolkata,1,5,0.994620,bellman
kyiv,0,5,0.999690,bellman
kyiv,1,5,0.743610,bellman
kyoto,0,5,0.999670,bellman
kyoto,1,5,0.646230,bellman
lagos,0,5,0.999230,bellman
lagos,1,5,0.567570,bellman
lima,0,5,0.999510,bellman
lima,1,5,0.996690,bellman
london,0,5,0.997870,bellman
london,1,5,0.964010,bellman
makarresh,0,5,0.999000,bellman
makarresh,1,5,0.004020,bellman
melbourne,0,5,0.998810,bellman
melbourne,1,5,0.948880,bellman
manhattan,0,5,0.999180,bellman
manhattan,1,5,0.675650,bellman
manila,0,5,0.999450,bellman
manila,1,5,0.990660,bellman
montreal,0,5,0.999600,bellman
montreal,1,5,0.991720,bellman
mumbai,0,5,0.999440,bellman
mumbai,1,5,0.990760,bellman
nairobi,0,5,0.998640,bellman
nairobi,1,5,0.997300,bellman
osaka,0,5,0.999660,bellman
osaka,1,5,0.596790,bellman
oslo,0,5,0.999350,bellman
oslo,1,5,0.999150,bellman
ourense,0,5,0.999230,bellman
ourense,1,5,0.997590,bellman
paris,0,5,0.999190,bellman
paris,1,5,0.932520,bellman
perth,0,5,0.998960,bellman
perth,1,5,0.998000,bellman
poughkeepsie,0,5,0.996410,bellman
poughkeepsie,1,5,0.934000,bellman
prague,0,5,0.999820,bellman
prague,1,5,0.989020,bellman
quito,0,5,0.994280,bellman
quito,1,5,0.985090,bellman
rochester,0,5,0.996000,bellman
rochester,1,5,0.674330,bellman
rome,0,5,0.999150,bellman
rome,1,5,0.999180,bellman
santiago,0,5,0.999550,bellman
santiago,1,5,0.999310,bellman
singapore,0,5,0.998330,bellman
singapore,1,5,0.992100,bellman
sydney,0,5,0.999510,bellman
sydney,1,5,0.985430,bellman
torino,0,5,0.999240,bellman
torino,1,5,0.947670,bellman
toronto,0,5,0.999340,bellman
toronto,1,5,0.867450,bellman
valencia,0,5,0.999110,bellman
valencia,1,5,0.997150,bellman
vigo,0,5,0.998980,bellman
vigo,1,5,0.995300,bellman
washington,0,5,0.999360,bellman
washington,1,5,0.804990,bellman
yorktown,0,5,0.998840,bellman
yorktown,1,5,0.842890,bellman
perfect_hardware,0,5,1.000000,bellman
algiers,0,6,0.999820,bellman
algiers,1,6,0.990670,bellman
almaden,0,6,0.998880,bellman
almaden,1,6,0.867330,bellman
athens,0,6,0.999510,bellman
athens,1,6,0.998100,bellman
auckland,0,6,0.999780,bellman
auckland,1,6,0.998690,bellman
belem,0,6,0.998580,bellman
belem,1,6,0.994890,bellman
boeblingen,0,6,0.999230,bellman
boeblingen,1,6,0.902250,bellman
bogota,0,6,0.997740,bellman
bogota,1,6,0.990250,bellman
brisbane,0,6,0.999830,bellman
brisbane,1,6,0.737240,bellman
brooklyn,0,6,0.999400,bellman
brooklyn,1,6,0.976270,bellman
burlington,0,6,0.997920,bellman
burlington,1,6,0.992590,bellman
cairo,0,6,0.999790,bellman
cairo,1,6,0.936750,bellman
cambridge,0,6,0.998690,bellman
cambridge,1,6,0.661900,bellman
casablanca,0,6,0.998940,bellman
casablanca,1,6,0.996650,bellman
cusco,0,6,0.999780,bellman
cusco,1,6,0.633930,bellman
essex,0,6,0.996450,bellman
essex,1,6,0.990100,bellman
fez,0,6,0.999810,bellman
fez,1,6,0.975360,bellman
geneva,0,6,0.999090,bellman
geneva,1,6,0.945510,bellman
guadalupe,0,6,0.999540,bellman
guadalupe,1,6,0.989260,bellman
hanoi,0,6,0.999810,bellman
hanoi,1,6,0.981560,bellman
jakarta,0,6,0.999100,bellman
jakarta,1,6,0.990970,bellman
johannesburg,0,6,0.998130,bellman
johannesburg,1,6,0.920110,bellman
kawasaki,0,6,0.999880,bellman
kawasaki,1,6,0.713820,bellman
kolkata,0,6,0.999860,bellman
kolkata,1,6,0.992830,bellman
kyiv,0,6,0.999930,bellman
kyiv,1,6,0.800340,bellman
kyoto,0,6,0.999880,bellman
kyoto,1,6,0.618160,bellman
lagos,0,6,0.999030,bellman
lagos,1,6,0.554190,bellman
lima,0,6,0.999090,bellman
lima,1,6,0.990130,bellman
london,0,6,0.998750,bellman
london,1,6,0.926980,bellman
makarresh,0,6,0.999790,bellman
makarresh,1,6,0.000810,bellman
melbourne,0,6,0.997720,bellman
melbourne,1,6,0.907860,bellman
manhattan,0,6,0.999720,bellman
manhattan,1,6,0.642550,bellman
manila,0,6,0.999280,bellman
manila,1,6,0.973560,bellman
montreal,0,6,0.999770,bellman
montreal,1,6,0.973650,bellman
mumbai,0,6,0.999390,bellman
mumbai,1,6,0.971270,bellman
nairobi,0,6,0.998740,bellman
nairobi,1,6,0.990100,bellman
osaka,0,6,0.999890,bellman
osaka,1,6,0.587270,bellman
oslo,0,6,0.999690,bellman
oslo,1,6,0.997330,bellman
ourense,0,6,0.999160,bellman
ourense,1,6,0.991190,bellman
paris,0,6,0.999700,bellman
paris,1,6,0.884970,bellman
perth,0,6,0.998680,bellman
perth,1,6,0.994320,bellman
poughkeepsie,0,6,0.997980,bellman
poughkeepsie,1,6,0.914410,bellman
prague,0,6,0.999800,bellman
prague,1,6,0.970040,bellman
quito,0,6,0.997410,bellman
quito,1,6,0.964970,bellman
rochester,0,6,0.998890,bellman
rochester,1,6,0.643470,bellman
rome,0,6,0.998490,bellman
rome,1,6,0.997200,bellman
santiago,0,6,0.999640,bellman
santiago,1,6,0.998910,bellman
singapore,0,6,0.998810,bellman
singapore,1,6,0.977710,bellman
sydney,0,6,0.999650,bellman
sydney,1,6,0.961090,bellman
torino,0,6,0.999770,bellman
torino,1,6,0.905310,bellman
toronto,0,6,0.999690,bellman
toronto,1,6,0.814960,bellman
valencia,0,6,0.998220,bellman
valencia,1,6,0.991210,bellman
vigo,0,6,0.999170,bellman
vigo,1,6,0.983730,bellman
washington,0,6,0.999850,bellman
washington,1,6,0.754560,bellman
yorktown,0,6,0.997540,bellman
yorktown,1,6,0.792680,bellman
perfect_hardware,0,6,1.000000,bellman
algiers,0,7,0.999930,bellman
algiers,1,7,0.991050,bellman
almaden,0,7,0.999310,bellman
almaden,1,7,0.868200,bellman
athens,0,7,0.999690,bellman
athens,1,7,0.998240,bellman
auckland,0,7,0.999910,bellman
auckland,1,7,0.998890,bellman
belem,0,7,0.998730,bellman
belem,1,7,0.994980,bellman
boeblingen,0,7,0.999470,bellman
boeblingen,1,7,0.902600,bellman
bogota,0,7,0.997830,bellman
bogota,1,7,0.990650,bellman
brisbane,0,7,0.999920,bellman
brisbane,1,7,0.737270,bellman
brooklyn,0,7,0.999530,bellman
brooklyn,1,7,0.978030,bellman
burlington,0,7,0.998200,bellman
burlington,1,7,0.993070,bellman
cairo,0,7,0.999920,bellman
cairo,1,7,0.938590,bellman
cambridge,0,7,0.999110,bellman
cambridge,1,7,0.662060,bellman
casablanca,0,7,0.999360,bellman
casablanca,1,7,0.996850,bellman
cusco,0,7,0.999870,bellman
cusco,1,7,0.634200,bellman
essex,0,7,0.997140,bellman
essex,1,7,0.990830,bellman
fez,0,7,0.999970,bellman
fez,1,7,0.975430,bellman
geneva,0,7,0.999420,bellman
geneva,1,7,0.945610,bellman
