hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
singapore,0,convex,1,244,280,0.645890,0.608000,0.037890
singapore,0,convex,2,245,283,0.664600,0.608000,0.056600
singapore,0,convex,3,246,284,0.721200,0.705820,0.015380
singapore,1,convex,1,62,280,0.662850,0.655330,0.007520
singapore,1,convex,2,63,283,0.666600,0.655330,0.011270
singapore,1,convex,3,64,284,0.745390,0.741340,0.004050
sydney,0,convex,1,247,280,0.664590,0.660470,0.004120
sydney,0,convex,2,248,283,0.666650,0.660470,0.006180
sydney,0,convex,3,249,284,0.747540,0.745250,0.002290
sydney,1,convex,1,250,280,0.638100,0.587730,0.050370
sydney,1,convex,2,251,283,0.662680,0.587730,0.074950
sydney,1,convex,3,252,284,0.708750,0.690660,0.018090
torino,0,convex,1,56,280,0.665520,0.663250,0.002270
torino,0,convex,2,57,283,0.666660,0.663250,0.003410
torino,0,convex,3,20,284,0.748580,0.747210,0.001370
torino,1,convex,1,76,280,0.500000,0.289880,0.210120
torino,1,convex,2,253,283,0.532020,0.289880,0.242140
torino,1,convex,3,254,284,0.532590,0.467410,0.065180
toronto,0,convex,1,255,280,0.592000,0.483670,0.108330
toronto,0,convex,2,256,283,0.612750,0.483670,0.129080
toronto,0,convex,3,257,284,0.631300,0.612500,0.018800
toronto,1,convex,1,195,280,0.664920,0.661470,0.003450
toronto,1,convex,2,258,283,0.666650,0.661470,0.005180
toronto,1,convex,3,197,284,0.747920,0.745970,0.001950
valencia,0,convex,1,259,280,0.661380,0.651070,0.010310
valencia,0,convex,2,260,283,0.666540,0.651070,0.015470
valencia,0,convex,3,261,284,0.743550,0.738150,0.005400
valencia,1,convex,1,262,280,0.654170,0.630530,0.023640
valencia,1,convex,2,263,283,0.665940,0.630530,0.035410
valencia,1,convex,3,204,284,0.733620,0.722630,0.010990
vigo,0,convex,1,264,280,0.649100,0.616600,0.032500
vigo,0,convex,2,265,283,0.665200,0.616600,0.048600
vigo,0,convex,3,266,284,0.726150,0.712270,0.013880
vigo,1,convex,1,68,280,0.663390,0.656930,0.006460
vigo,1,convex,2,267,283,0.666620,0.656930,0.009690
vigo,1,convex,3,268,284,0.746040,0.742510,0.003530
washington,0,convex,1,269,280,0.575260,0.451470,0.123790
washington,0,convex,2,270,283,0.588600,0.451470,0.137130
washington,0,convex,3,271,284,0.608170,0.588520,0.019650
washington,1,convex,1,153,280,0.666040,0.664800,0.001240
washington,1,convex,2,272,283,0.666660,0.664800,0.001860
washington,1,convex,3,273,284,0.749230,0.748470,0.000760
yorktown,0,convex,1,274,280,0.660400,0.648200,0.012200
yorktown,0,convex,2,275,283,0.666490,0.648200,0.018290
yorktown,0,convex,3,276,284,0.742240,0.735960,0.006280
yorktown,1,convex,1,277,280,0.585990,0.471800,0.114190
yorktown,1,convex,2,278,283,0.603850,0.471800,0.132050
yorktown,1,convex,3,279,284,0.621570,0.603180,0.018390
perfect_hardware,0,convex,1,280,280,0.666670,0.666670,0.000000
perfect_hardware,0,convex,2,281,283,0.666670,0.666670,0.000000
perfect_hardware,0,convex,3,282,284,0.750000,0.750000,0.000000
